date,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,cluster_key,cluster_label,parent_region,hub_key,hub_label,route_name,route_label,route_border_key,route_target_zone,route_delivery_tier,route_delivery_signal,route_delivery_reason,deliverable_mw_proxy,deliverable_route_score_eur_per_mwh,internal_transfer_evidence_tier,internal_transfer_gate_state,internal_transfer_capacity_limit_mw,internal_transfer_source_provider,internal_transfer_source_key,curtailment_source_tier,curtailment_truth_profile,curtailment_source_target_is_proxy,curtailment_proxy_mwh,curtailment_proxy_cost_gbp,curtailment_truth_mwh,curtailment_truth_dispatch_mwh_lower_bound,curtailment_truth_half_hour_count,curtailment_truth_bmu_count,curtailment_selected_mwh,curtailment_present_flag,export_candidate_flag,opportunity_deliverable_mwh,opportunity_spill_mwh,opportunity_gross_value_eur,opportunity_state,connector_capacity_tight_now_flag,market_knew_connector_restriction_flag,connector_notice_market_state,connector_notice_state,connector_notice_known_flag,connector_notice_active_flag,connector_notice_upcoming_flag,connector_notice_hours_until_start,connector_notice_hours_since_publication,connector_notice_lead_time_hours,connector_notice_revision_count,connector_notice_source_key,connector_itl_state,connector_itl_capacity_limit_mw,connector_itl_source_key,connector_gate_state,connector_capacity_evidence_tier,reviewed_publication_state,source_lineage
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,eleclink,ElecLink,R1_netback_GB_FR_DE_PL,GB->FR->DE->PL,GB-FR,FR,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,gb_topology_transfer_gate_proxy,capacity_unknown_stretched,1050.84,proxy,gb_topology_transfer_gate_proxy,regional_proxy,proxy,True,312.6833312081945,43629.03654878772,0.0,0.0,0,0,312.6833312081945,True,False,0.0,312.6833312081945,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_no_restriction,1014.0,neso_interconnector_itl,nominal_headroom_proxy,nominal_static,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,ifa,IFA,R1_netback_GB_FR_DE_PL,GB->FR->DE->PL,GB-FR,FR,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,gb_topology_transfer_gate_proxy,capacity_unknown_stretched,1050.84,proxy,gb_topology_transfer_gate_proxy,regional_proxy,proxy,True,312.6833312081945,43629.03654878772,0.0,0.0,0,0,312.6833312081945,True,False,0.0,312.6833312081945,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_restriction,210.0,neso_interconnector_itl,itl_capacity_cap,neso_interconnector_itl,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,britned,BritNed,R2_netback_GB_NL_DE_PL,GB->NL->DE->PL,GB-NL,NL,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,gb_topology_transfer_gate_proxy,capacity_unknown_reachable,3828.06,proxy,gb_topology_transfer_gate_proxy,regional_proxy,proxy,True,312.6833312081945,43629.03654878772,0.0,0.0,0,0,312.6833312081945,True,False,0.0,312.6833312081945,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_restriction,110.0,neso_interconnector_itl,itl_capacity_cap,neso_interconnector_itl,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,east_anglia_offshore,East Anglia Offshore,England/Wales,eleclink,ElecLink,R1_netback_GB_FR_DE_PL,GB->FR->DE->PL,GB-FR,FR,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,gb_topology_transfer_gate_proxy,capacity_unknown_conditional,563.55,proxy,gb_topology_transfer_gate_proxy,regional_proxy,proxy,True,63.73641043812118,8893.208888841622,0.0,0.0,0,0,63.73641043812118,True,False,0.0,63.73641043812118,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_no_restriction,1014.0,neso_interconnector_itl,nominal_headroom_proxy,nominal_static,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,east_anglia_offshore,East Anglia Offshore,England/Wales,ifa,IFA,R1_netback_GB_FR_DE_PL,GB->FR->DE->PL,GB-FR,FR,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,gb_topology_transfer_gate_proxy,capacity_unknown_conditional,563.55,proxy,gb_topology_transfer_gate_proxy,regional_proxy,proxy,True,63.73641043812118,8893.208888841622,0.0,0.0,0,0,63.73641043812118,True,False,0.0,63.73641043812118,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_restriction,210.0,neso_interconnector_itl,itl_capacity_cap,neso_interconnector_itl,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,east_anglia_offshore,East Anglia Offshore,England/Wales,ifa2,IFA2,R1_netback_GB_FR_DE_PL,GB->FR->DE->PL,GB-FR,FR,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,gb_topology_transfer_gate_proxy,capacity_unknown_conditional,563.55,proxy,gb_topology_transfer_gate_proxy,regional_proxy,proxy,True,63.73641043812118,8893.208888841622,0.0,0.0,0,0,63.73641043812118,True,False,0.0,63.73641043812118,0.0,curtailment_no_price_signal,True,False,tight_now_without_public_notice,,False,False,False,,,,,gb_topology_transfer_gate_proxy,,,,operator_partial_capacity_cap,operator_partial_capacity_truth,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,east_anglia_offshore,East Anglia Offshore,England/Wales,britned,BritNed,R2_netback_GB_NL_DE_PL,GB->NL->DE->PL,GB-NL,NL,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,gb_topology_transfer_gate_proxy,capacity_unknown_reachable,918.0,proxy,gb_topology_transfer_gate_proxy,regional_proxy,proxy,True,63.73641043812118,8893.208888841622,0.0,0.0,0,0,63.73641043812118,True,False,0.0,63.73641043812118,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_restriction,110.0,neso_interconnector_itl,itl_capacity_cap,neso_interconnector_itl,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,eleclink,ElecLink,R1_netback_GB_FR_DE_PL,GB->FR->DE->PL,GB-FR,FR,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,reviewed_internal_constraint_boundary,reviewed_boundary_tight,132.0,neso,fact_day_ahead_constraint_boundary_half_hourly:SSE-SP2,regional_proxy,proxy,True,57.96510823561759,8087.932976773658,0.0,0.0,0,0,57.96510823561759,True,False,0.0,57.96510823561759,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_no_restriction,1014.0,neso_interconnector_itl,nominal_headroom_proxy,nominal_static,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,ifa,IFA,R1_netback_GB_FR_DE_PL,GB->FR->DE->PL,GB-FR,FR,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,reviewed_internal_constraint_boundary,reviewed_boundary_tight,132.0,neso,fact_day_ahead_constraint_boundary_half_hourly:SSE-SP2,regional_proxy,proxy,True,57.96510823561759,8087.932976773658,0.0,0.0,0,0,57.96510823561759,True,False,0.0,57.96510823561759,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_restriction,210.0,neso_interconnector_itl,itl_capacity_cap,neso_interconnector_itl,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,britned,BritNed,R2_netback_GB_NL_DE_PL,GB->NL->DE->PL,GB-NL,NL,no_price_signal,HOLD,The route netback is not positive after route-leg losses and fees.,,,reviewed_internal_constraint_boundary,reviewed_boundary_tight,132.0,neso,fact_day_ahead_constraint_boundary_half_hourly:SSE-SP2,regional_proxy,proxy,True,57.96510823561759,8087.932976773658,0.0,0.0,0,0,57.96510823561759,True,False,0.0,57.96510823561759,0.0,curtailment_no_price_signal,False,False,no_public_connector_restriction,,False,False,False,,,,,gb_topology_transfer_gate_proxy,published_restriction,110.0,neso_interconnector_itl,itl_capacity_cap,neso_interconnector_itl,,fact_route_score_hourly|fact_regional_curtailment_hourly_proxy
